date,value
2020-01-15,11000
2020-01-16,11281
2020-01-17,11901
2020-01-18,12005
2020-01-19,12089
2020-01-20,12089
2020-01-21,12466
2020-01-22,12490
2020-01-23,12601
2020-01-24,12591
2020-01-25,12584
2020-01-26,12584
2020-01-27,12584
2020-01-28,13022
2020-01-29,13259
2020-01-30,13324
2020-01-31,13336
2020-02-01,13479
2020-02-02,13456
2020-02-03,13456
2020-02-04,13318
2020-02-05,13230
2020-02-06,13491
2020-02-07,13570
2020-02-08,13621
2020-02-09,13621
2020-02-10,13435
2020-02-11,13737
2020-02-12,13818
2020-02-13,13821
2020-02-14,13737
2020-02-15,13761
2020-02-16,13761
2020-02-17,13761
2020-02-18,13958
2020-02-19,13933
2020-02-20,14097
2020-02-21,14233
2020-02-22,14218
2020-02-23,14119
2020-02-24,14165
2020-02-25,14171
2020-02-26,14106
2020-02-27,13923
2020-02-28,14075
2020-02-29,14099
2020-03-01,14045
2020-03-02,14045
2020-03-03,13929
2020-03-04,13929
2020-03-05,13788
2020-03-06,13934
2020-03-07,13920
2020-03-08,13839
2020-03-09,13947
2020-03-10,13746
2020-03-11,13754
2020-03-12,13764
2020-03-13,14078
2020-03-14,13865
2020-03-15,13698
2020-03-16,13701
2020-03-17,13745
2020-03-18,13832
2020-03-19,13893
2020-03-20,13893
2020-03-21,13893
2020-03-22,13893
2020-03-23,13893
2020-03-24,13228
2020-03-25,13228
2020-03-26,13228
2020-03-27,13048
2020-03-28,13048
2020-03-29,13048
2020-03-30,12509
2020-03-31,12509
2020-04-01,13094
2020-04-03,13094
2020-04-04,13094
2020-04-05,13094
2020-04-06,13094
2020-04-07,12784
2020-04-08,13108
2020-04-09,13264
2020-04-10,12944
2020-04-11,12944
2020-04-12,12944
2020-04-13,13052
2020-04-14,13052
2020-04-15,12827
2020-04-16,13066
2020-04-17,12997
2020-04-18,13011
2020-04-19,13011
2020-04-20,13011
2020-04-21,13011
2020-04-22,13247
2020-04-23,13144
2020-04-24,12997
2020-04-25,12997
2020-04-26,12997
2020-04-27,12997
2020-04-28,12696
2020-04-29,12696
2020-04-30,12365
2020-05-01,12068
2020-05-02,11761
2020-05-03,11761
2020-05-04,11761
2020-05-05,11509
2020-05-06,11485
2020-05-07,11336
2020-05-08,11245
2020-05-08,11040
2020-05-09,11040
2020-05-10,11040
2020-05-11,11040
2020-05-13,11677
2020-05-14,11914
2020-05-15,11913
2020-05-15,11913
2020-05-15,11913
2020-05-15,11913
2020-05-15,11913
2020-05-16,11842
2020-05-17,12326
2020-05-18,12332
