date,listen,nolisten,all
2020-01-15,11407,91973,103380
2020-01-16,11281,93736,105017
2020-01-17,11901,94089,105990
2020-01-18,12005,97127,109132
2020-01-19,12089,98064,110153
2020-01-20,12089,104806,116895
2020-01-21,12466,96349,108815
2020-01-22,12490,97914,110404
2020-01-23,12601,99214,111815
2020-01-24,12591,98072,110663
2020-01-25,12584,96128,108712
2020-01-26,12584,96128,108712
2020-01-27,12584,96128,108712
2020-01-28,13022,87800,100822
2020-01-29,13259,87983,101242
2020-01-30,13324,88521,101845
2020-01-31,13336,88774,102110
2020-02-01,13479,90912,104391
2020-02-02,13456,91130,104586
2020-02-03,13456,91130,104586
2020-02-04,13318,93962,107280
2020-02-05,13230,93636,106866
2020-02-06,13491,91147,104638
2020-02-07,13570,92435,106005
2020-02-08,13621,93843,107464
2020-02-09,13621,93843,107464
2020-02-10,13435,87918,101353
2020-02-11,13737,91894,105631
2020-02-12,13818,93443,107261
2020-02-13,13821,92041,105862
2020-02-14,13737,90037,103774
2020-02-15,13761,90831,104592
2020-02-16,13761,90831,104592
2020-02-17,13761,90831,104592
2020-02-18,13958,90215,104173
2020-02-19,13933,97925,111858
2020-02-20,14097,94597,108694
2020-02-21,14233,95551,109784
2020-02-22,14218,95657,109875
2020-02-23,14119,90725,104844
2020-02-24,14165,91385,105550
2020-02-25,14171,91696,105867
2020-02-26,14106,89897,104003
2020-02-27,13923,90857,104780
2020-02-28,14075,88838,102913
2020-02-29,14099,89415,103514
2020-03-01,14045,88627,102672
2020-03-02,14045,88627,102672
2020-03-03,13929,88667,102596
2020-03-04,13929,92633,106562
2020-03-05,13788,94094,107882
2020-03-06,13934,93164,107098
2020-03-07,13920,95633,109553
2020-03-08,13839,92716,106555
2020-03-09,13947,90488,104435
2020-03-10,13746,89916,103662
2020-03-11,13754,89886,103640
2020-03-12,13764,90834,104598
2020-03-13,14078,94655,108733
2020-03-14,13865,91144,105009
2020-03-15,13698,89146,102844
2020-03-16,13701,89055,102756
2020-03-17,13745,90127,103872
2020-03-18,13832,92454,106286
2020-03-19,13893,92254,106147
2020-03-20,13893,92254,106147
2020-03-21,13893,92254,106147
2020-03-22,13893,92254,106147
2020-03-23,13893,92254,106147
2020-03-24,13228,83389,96617
2020-03-25,13228,87488,100716
2020-03-26,13228,87488,100716
2020-03-27,13048,83721,96769
2020-03-28,13048,83721,96769
2020-03-29,13048,83721,96769
2020-03-30,12509,74835,87344
2020-03-31,12509,85535,98044
2020-04-01,13094,83360,96454
2020-04-03,13094,88156,101250
2020-04-04,13094,88156,101250
2020-04-05,13094,88156,101250
2020-04-06,13094,88156,101250
2020-04-07,12784,84239,97023
2020-04-08,13108,86156,99264
2020-04-09,13264,91036,104300
2020-04-10,12944,83359,96303
2020-04-11,12944,83359,96303
2020-04-12,12944,83359,96303
2020-04-13,13052,84651,97703
2020-04-14,13052,87841,100893
2020-04-15,12827,88612,101439
2020-04-16,13066,91029,104095
2020-04-17,12997,86132,99129
2020-04-18,13011,86330,99341
2020-04-19,13011,86330,99341
2020-04-20,13011,86330,99341
2020-04-21,13011,87048,100059
2020-04-22,13247,90235,103482
2020-04-23,13144,92624,105768
2020-04-24,12997,91578,104575
2020-04-25,12997,91578,104575
2020-04-26,12997,91578,104575
2020-04-27,12997,91578,104575
2020-04-28,12696,87593,100289
2020-04-29,12696,87593,100289
2020-04-30,12365,84284,96649
2020-05-01,12068,84514,96582
2020-05-02,11761,83981,95742
2020-05-03,11761,83981,95742
2020-05-04,11761,83981,95742
2020-05-05,11509,79718,91227
2020-05-06,11485,80438,91923
2020-05-07,11336,83664,95000
2020-05-08,11245,89499,100744
2020-05-08,11040,84059,95099
2020-05-09,11040,85391,96431
2020-05-10,11040,85391,96431
2020-05-11,11040,85391,96431
2020-05-13,11677,81640,93317
2020-05-14,11967,84451,96418
2020-05-15,11913,87079,98992
2020-05-15,11913,87079,98992
2020-05-15,11913,87079,98992
2020-05-15,11913,87079,98992
2020-05-15,11913,87079,98992
2020-05-16,11842,85119,96961
2020-05-17,12326,89662,101988
2020-05-18,12332,86060,98392
2020-05-19,12365,86947,99312
2020-05-20,12357,86985,99342
2020-05-21,12475,89869,102344
2020-05-22,12573,89517,102090
2020-05-23,12573,89517,102090
2020-05-24,12573,89517,102090
2020-05-25,12573,89517,102090
2020-05-26,12737,85667,98404
2020-05-27,12737,86582,99319
2020-05-28,12846,88089,100935
2020-05-29,12837,88484,101321
2020-05-30,12990,90722,103712
2020-05-31,12945,89480,102425
2020-06-01,12945,89480,102425
2020-06-02,12712,85680,98392
2020-06-03,12908,85875,98783
2020-06-04,12874,86115,98989
2020-06-05,12944,86224,99168
2020-06-06,12991,85417,98408
2020-06-07,13011,85664,98675
2020-06-08,13014,85721,98735
2020-06-09,13107,87381,100488
2020-06-10,13106,90203,103309
2020-06-11,13106,90203,103309
2020-06-12,13106,90203,103309
2020-06-13,13106,90203,103309
2020-06-14,13106,90203,103309
2020-06-15,13106,90203,103309
2020-06-16,13106,90203,103309
2020-06-21,13106,90203,103309
2020-06-22,13106,90203,103309
2020-06-23,13106,90203,103309
2020-06-24,13106,90203,103309
2020-06-25,13106,90203,103309
2020-06-26,13106,90203,103309
2020-06-27,13106,90203,103309
2020-06-28,13106,90203,103309
2020-06-29,13106,90203,103309
2020-06-30,116,-116,0
2020-07-01,116,-116,0
2020-07-02,116,-116,0
2020-07-03,116,-116,0
2020-07-04,116,-116,0
2020-07-05,116,-116,0
2020-07-06,116,-116,0
2020-07-07,116,-116,0
2020-07-08,116,-116,0
2020-07-09,116,-116,0
2020-07-10,116,-116,0
2020-07-11,116,-116,0
2020-07-12,116,-116,0
2020-07-13,116,-116,0
2020-07-14,116,-116,0
2020-07-15,116,-116,0
2020-07-16,116,-116,0
2020-07-17,116,-116,0
2020-07-18,116,-116,0
2020-07-19,116,-116,0
2020-07-20,116,-116,0
2020-07-21,116,-116,0
2020-07-22,116,-116,0
2020-07-23,116,-116,0
2020-07-24,116,-116,0
2020-07-25,116,-116,0
2020-07-26,116,-116,0
2020-07-27,116,-116,0
2020-07-28,116,-116,0
2020-07-29,116,-116,0
2020-07-30,116,-116,0
2020-07-31,116,-116,0
2020-08-01,116,-116,0
2020-08-02,116,-116,0
2020-08-03,116,-116,0
2020-08-04,116,-116,0
2020-08-05,116,-116,0
2020-08-06,116,-116,0
2020-08-07,116,-116,0
2020-08-08,116,-116,0
2020-08-09,116,-116,0
2020-08-10,116,-116,0
2020-08-11,116,-116,0
